packet_loss,buffer,bandwidth_mbps
0,64000,520
0,208000,520
1000000,64000,520
1000000,208000,321
0,64000,526
0,208000,515
1000000,64000,319
1000000,208000,520
0,64000,319
0,208000,515
1000000,64000,520
1000000,208000,520
0,64000,526
0,208000,520
1000000,64000,319
1000000,208000,321
0,64000,531
0,208000,542
1000000,64000,515
1000000,208000,520
0,64000,515
0,208000,321
1000000,64000,515
1000000,208000,521
0,64000,520
0,208000,515
1000000,64000,520
1000000,208000,520
0,64000,520
0,208000,515
1000000,64000,520
1000000,208000,515
