step,state,bytes_transmitted
0,0,0
1,0,0
2,1,1279262
3,1,1279262
4,1,1279262
5,0,0
6,1,1279262
7,1,1279262
8,1,1279262
9,2,6259998
10,0,0
11,1,1279262
12,1,1279262
13,1,1279262
14,1,1279262
15,0,0
16,0,0
17,2,6259998
18,2,6259998
19,0,0
20,0,0
21,1,1279262
22,2,6259998
23,2,6259998
24,2,6259998
25,0,0
26,1,1279262
27,0,0
28,0,0
29,1,1279262
30,0,0
31,1,1279262
32,0,0
33,0,0
34,0,0
35,1,1279262
36,0,0
37,0,0
38,0,0
39,0,0
40,2,6259998
41,2,6259998
42,1,1279262
43,2,6259998
44,1,1279262
45,1,1279262
46,2,6259998
47,0,0
48,2,6259998
49,0,0
50,1,1279262
51,2,6259998
52,2,6259998
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,1,1279262
60,2,6259998
61,1,1279262
62,1,1279262
63,2,6259998
64,1,1279262
65,0,0
66,1,1279262
67,0,0
68,0,0
69,0,0
70,0,0
71,1,1279262
72,1,1279262
73,1,1279262
74,2,6259998
75,2,6259998
76,2,6259998
77,2,6259998
78,1,1279262
79,0,0
80,0,0
81,0,0
82,2,6259998
83,2,6259998
84,0,0
85,0,0
86,0,0
87,0,0
88,1,1279262
89,1,1279262
90,2,6259998
91,2,6259998
92,2,6259998
93,2,6259998
94,2,6259998
95,1,1279262
96,0,0
97,0,0
98,0,0
99,2,6259998
